,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,% unique subscribers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,% unique subscribers,1581,Mobile internet,,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.14%,5.19%,6.61%,7.73%,8.54%,8.91%,9.59%,10.39%,11.40%,12.17%,13.01%,14.05%,14.93%,15.57%,16.56%,16.89%,17.89%,20.13%,21.38%,22.73%,24.09%,25.43%,26.77%,28.11%,29.45%,30.78%,32.10%,33.42%,34.73%,36.02%,37.30%,38.58%,39.84%,41.07%,42.29%,43.51%,44.72%,45.89%,47.06%,48.22%,49.36%,50.47%,51.58%,52.68%
305,% unique subscribers,1582,Mobile internet > 2G,,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13%,4.33%,4.51%,4.71%,4.94%,5.23%,5.52%,5.81%,6.08%,6.39%,6.52%,6.59%,6.95%,7.50%,7.55%,8.51%,9.08%,9.45%,9.92%,10.55%,11.21%,11.77%,12.11%,12.42%,12.75%,13.15%,14.43%,14.20%,14.28%,14.51%,14.78%,15.04%,15.29%,15.52%,15.77%,16.02%,16.28%,16.52%,16.77%,17.03%,17.29%,17.54%,17.79%,18.05%
305,% unique subscribers,1583,Mobile internet > 3G + 4G,,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81%,1.98%,2.84%,3.39%,3.52%,3.78%,4.21%,4.85%,5.29%,5.63%,6.10%,6.73%,7.33%,7.88%,8.46%,8.56%,9.71%,10.43%,11.30%,12.07%,13.10%,15.13%,17.10%,18.70%,19.88%,22.18%,22.30%,23.14%,24.27%,25.48%,26.69%,27.88%,29.00%,30.06%,31.06%,32.02%,32.93%,33.82%,34.66%,35.48%,36.26%,37.03%,37.77%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"Net additions, unique subscribers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"Net additions, unique subscribers",0,Total,,Mali,,,,,"5,361","5,727","6,246","6,995","9,038","10,557","12,720","15,803","24,841","47,069","33,156","56,847","30,979","33,857","41,439","45,547","68,548","63,681","87,920","105,344","128,932","179,380","138,997","190,400","167,802","158,820","172,286","279,140","161,929","123,807","163,152","157,132","79,485","128,207","186,667","146,730","179,663","498,362","379,140","233,324","282,038","483,924","454,323","289,924","211,592","577,860","821,120","717,086","460,047","461,933","463,745","449,837","414,918","356,867","296,255","84,405","68,701","68,701","68,700","68,701","68,701","68,701","-571,900","601,382","303,697","140,026","94,263","94,263","94,263","94,264","96,879","96,880","96,879","96,879","99,193","99,193","99,192","99,192","101,478","101,478"
178,"Net additions, unique subscribers",1581,Mobile internet,,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,979","60,370","78,068","63,608","59,259","62,315","71,721","71,000","78,436","114,681","132,664","132,222","146,123","170,122","128,145","227,452","141,320","230,607","190,666","189,322","178,276","199,581","291,280","285,008","247,517","208,136","213,072","208,325","221,446","219,290","220,657","221,257","219,608","212,321","209,321","206,011","202,691","198,254","197,713","196,369","194,563","192,298","192,408","192,457"
178,"Net additions, unique subscribers",1582,Mobile internet > 2G,,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,979","28,304","24,313","19,771","24,515","38,934","40,659","33,764","29,420","56,257","62,865","52,449","62,167","83,111","40,006","132,584","96,131","73,007","80,483","80,746","82,395","73,311","46,580","44,373","47,421","56,076","68,910","59,725","52,383","48,384","47,728","46,465","45,021","44,059","46,270","47,963","48,590","47,380","49,295","50,849","51,472","51,117","51,994","53,275"
