,Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
305,% unique subscribers,1581,Mobile internet,,Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.30%,21.96%,23.54%,25.00%,26.37%,27.67%,28.96%,30.46%,31.91%,33.32%,34.71%,36.08%,37.42%,38.72%,40.01%,41.41%,42.54%,43.55%,44.63%,45.75%,46.95%,48.19%,49.50%,50.86%,52.25%,53.67%,55.11%,56.52%,57.88%,59.21%,60.50%,61.79%,63.06%,64.30%,65.51%,66.71%,67.87%,69.00%,70.10%,71.17%,72.21%,73.21%,74.17%,75.12%
305,% unique subscribers,1582,Mobile internet > 2G,,Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34%,0.40%,0.92%,1.91%,3.38%,5.10%,7.24%,9.70%,12.03%,14.87%,18.02%,21.24%,24.30%,27.32%,29.94%,33.24%,33.20%,35.92%,36.11%,35.83%,35.00%,33.87%,33.00%,33.08%,32.98%,33.02%,33.08%,33.02%,32.18%,31.66%,31.25%,30.82%,30.36%,29.90%,29.45%,28.99%,28.53%,28.04%,27.57%,27.11%,26.65%,26.20%,25.76%,25.34%
305,% unique subscribers,1583,Mobile internet > 3G + 4G,,Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51%,0.99%,1.56%,2.18%,2.83%,3.48%,4.18%,4.79%,5.86%,6.82%,8.14%,9.00%,10.71%,11.71%,13.25%,14.63%,16.29%,18.08%,20.07%,22.11%,24.07%,25.48%,27.12%,28.86%,30.60%,32.32%,34.09%,35.86%,37.61%,39.33%,41.03%,42.71%,44.35%,45.95%,47.52%,49.04%,50.53%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"Net additions, unique subscribers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"Net additions, unique subscribers",0,Total,,Swaziland,,"2,230","2,454","2,700","2,968","3,262","3,241","6,869","6,773","3,578","3,551","2,208","2,200","4,365","4,329","8,541","-2,535","5,088","20,640","14,372","8,607","18,198","17,070","15,092","7,797","8,385","13,001","8,779","11,908","21,779","22,386","14,702","10,975","34,982","25,709","10,512","16,072","5,377","27,406","22,293","12,171","1,422","9,335","30,253","7,213","7,212","7,213","7,213","15,884",861,861,"11,570","8,544","9,489","19,046","4,069","4,070","4,069","8,650","8,651","14,527","13,973","13,888","13,796","13,549","13,160","12,918","12,815","26,159","16,658","12,878","12,509","12,195","10,229","9,371","9,184","8,961","8,278","7,966","7,747","7,469","7,091","6,793","6,577"
178,"Net additions, unique subscribers",1581,Mobile internet,,Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,313",298,"2,441","5,153","7,499","8,956","11,386","15,990","16,739","18,424","20,449","23,654","22,853","23,710","25,069","27,265","7,075","25,787","10,300","12,641","7,841","9,186","9,947","18,260","18,291","20,980","21,798","20,847","19,293","18,187","17,951","17,899","17,649","17,076","16,930","16,818","16,544","15,985","15,816","15,670","15,397","14,980","14,663","14,456"
178,"Net additions, unique subscribers",1582,Mobile internet > 2G,,Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,313",298,"2,441","5,153","7,499","8,956","11,386","13,341","14,049","15,389","17,077","19,833","18,938","19,449","20,633","20,742","1,112","17,637","4,319","1,355",-47,"-2,406",-994,"5,089","3,773","4,633","4,711","3,767","2,368","1,345",890,497,11,-650,-914,"-1,098","-1,355","-1,761","-1,842","-1,875","-1,960","-2,100","-2,139","-2,088"
178,"Net additions, unique subscribers",1583,Mobile internet > 3G + 4G,,Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,690","3,035","3,372","3,821","3,915","4,261","4,436","6,523","5,963","8,150","5,981","11,286","7,888","11,592","10,941","13,171","14,518","16,347","17,087","17,080","16,925","16,842","17,061","17,402","17,638","17,726","17,844","17,916","17,899","17,746","17,658","17,545","17,357","17,080","16,802","16,544"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
