,Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
305,% unique subscribers,1581,Mobile internet,,Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.80%,3.96%,4.12%,4.28%,5.01%,5.72%,6.42%,7.14%,7.88%,8.71%,9.79%,10.87%,13.40%,16.20%,19.35%,22.80%,24.88%,27.09%,29.19%,31.28%,33.22%,34.99%,36.69%,38.37%,40.02%,41.60%,43.14%,44.65%,46.11%,47.51%,48.87%,50.19%,51.47%,52.67%,53.80%,54.85%,55.83%,56.74%,57.58%,58.35%,59.07%,59.72%,60.32%,60.87%
305,% unique subscribers,1582,Mobile internet > 2G,,Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.51%,3.67%,3.82%,3.98%,4.67%,5.35%,6.03%,6.73%,7.42%,8.10%,8.80%,9.46%,11.61%,14.01%,16.73%,19.79%,21.19%,22.41%,23.54%,24.55%,25.70%,26.69%,27.88%,28.46%,28.76%,29.13%,29.56%,29.96%,30.29%,30.61%,30.91%,31.19%,31.43%,31.65%,31.84%,32.00%,32.13%,32.21%,32.27%,32.28%,32.26%,32.19%,32.08%,31.94%
305,% unique subscribers,1583,Mobile internet > 3G + 4G,,Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24%,0.24%,0.25%,0.25%,0.29%,0.32%,0.35%,0.37%,0.42%,0.56%,0.98%,1.41%,1.87%,2.38%,2.94%,3.51%,4.05%,4.77%,5.44%,6.14%,6.82%,7.64%,8.53%,9.20%,9.85%,10.58%,11.38%,12.23%,13.10%,13.97%,14.84%,15.71%,16.57%,17.42%,18.26%,19.08%,19.90%,20.71%,21.52%,22.32%,23.11%,23.90%,24.69%,25.48%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"Net additions, unique subscribers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"Net additions, unique subscribers",0,Total,,Liberia,,,,,,,"2,980","3,298","3,613","3,927","4,237","4,546","4,852","4,858","4,963","5,658","6,936","8,936","9,978","19,190","27,382","23,864","10,983","32,350","37,890","54,519","41,119","37,137","72,366","23,386","12,676","22,008","48,318","52,961","36,262","43,839","43,193","33,091","74,945","38,232","51,087","50,107","46,373","34,652","46,403","48,192","57,055","45,134","30,828","21,882","23,147","44,683","22,238","17,357","15,064","21,280","13,062","13,062","14,421","13,743","17,370","3,745","3,745","37,021","48,834","42,837","36,496","35,208","34,870","32,564","31,758","31,208","30,264","28,629","28,199","27,998","27,451","26,226","26,009","25,950","25,658","24,973","24,542","24,294"
178,"Net additions, unique subscribers",1581,Mobile internet,,Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,294","3,388","3,414","3,111","9,880","10,394","11,681","11,843","11,533","12,244","16,707","19,157","38,419","42,954","48,754","56,123","31,110","31,669","30,338","29,432","32,774","28,664","32,632","32,720","33,778","34,449","35,152","35,747","35,793","35,264","35,432","35,375","34,863","33,943","33,704","33,341","32,727","31,691","31,289","30,793","30,050","29,116","28,386","27,796"
178,"Net additions, unique subscribers",1582,Mobile internet > 2G,,Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,146","3,243","3,277","2,977","9,315","9,900","11,231","11,324","10,869","10,332","11,034","12,916","31,786","35,497","40,492","47,347","22,893","20,532","19,782","18,356","21,454","15,980","18,891","19,305","18,767","18,379","17,892","17,152","16,327","15,468","15,207","14,698","14,076","13,053","12,651","12,105","11,301","10,105","9,471","8,732","7,753","6,604","5,616","4,724"
178,"Net additions, unique subscribers",1583,Mobile internet > 3G + 4G,,Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,145,137,134,565,494,450,519,664,"1,912","5,673","6,241","6,633","7,457","8,262","8,776","8,217","11,137","10,556","11,076","11,320","12,684","13,741","13,415","15,011","16,070","17,260","18,595","19,466","19,796","20,225","20,677","20,787","20,890","21,053","21,236","21,426","21,586","21,818","22,061","22,297","22,512","22,770","23,072"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,"Growth rate, unique subscribers, quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,"Growth rate, unique subscribers, quarterly",0,Total,,Liberia,,,,,,,131.80%,62.93%,42.31%,32.32%,26.35%,22.38%,19.52%,16.35%,14.36%,14.31%,15.35%,17.14%,16.34%,27.01%,30.35%,20.29%,7.76%,21.22%,20.50%,24.48%,14.83%,11.67%,20.36%,5.47%,2.81%,4.74%,9.94%,9.91%,6.18%,7.03%,6.47%,4.66%,10.08%,4.67%,5.96%,5.52%,4.84%,3.45%,4.47%,4.44%,5.03%,3.79%,2.49%,1.73%,1.80%,3.41%,1.64%,1.26%,1.08%,1.51%,0.91%,0.90%,0.99%,0.93%,1.17%,0.25%,0.25%,2.45%,3.15%,2.68%,2.23%,2.10%,2.04%,1.86%,1.78%,1.72%,1.64%,1.53%,1.48%,1.45%,1.40%,1.32%,1.29%,1.27%,1.24%,1.20%,1.16%,1.14%
