,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GSMA Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Metric,id,Attribute,id,"Market, Operator",Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020
305,% unique subscribers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,% unique subscribers,1581,Mobile internet,,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.92%,4.10%,4.35%,4.67%,5.09%,5.60%,6.23%,7.00%,7.88%,8.82%,9.83%,10.85%,12.12%,13.65%,15.57%,18.09%,19.56%,21.06%,22.60%,24.14%,25.69%,27.23%,28.79%,30.38%,31.98%,33.58%,35.21%,36.85%,38.50%,40.15%,41.82%,43.51%,45.20%,46.89%,48.60%,50.32%,52.05%,53.77%,55.48%,57.20%,58.89%,60.56%,62.21%,63.83%
305,% unique subscribers,1582,Mobile internet > 2G,,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95%,4.15%,4.40%,4.74%,5.18%,5.71%,6.36%,7.27%,8.16%,9.11%,10.14%,11.16%,12.25%,13.38%,14.59%,15.66%,15.93%,16.96%,18.23%,18.94%,19.73%,20.41%,21.23%,22.00%,22.84%,23.89%,24.95%,25.59%,26.05%,26.26%,26.34%,26.40%,26.48%,26.51%,26.49%,26.43%,26.30%,26.12%,25.89%,25.63%,25.33%,24.99%,24.62%,24.22%
305,% unique subscribers,1583,Mobile internet > 3G + 4G,,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65%,1.22%,1.72%,2.18%,2.55%,3.08%,4.06%,4.86%,5.44%,6.18%,7.10%,8.07%,9.09%,10.19%,11.48%,12.86%,14.11%,15.32%,16.48%,17.60%,18.79%,20.07%,21.43%,22.86%,24.35%,25.92%,27.57%,29.29%,31.05%,32.87%,34.74%,36.64%,38.58%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"Net additions, unique subscribers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"Net additions, unique subscribers",0,Total,,Benin,,"8,281","18,089","25,785","35,163","34,880","34,611","34,286","34,024","33,937","34,020","34,268","34,420","34,515","34,143","43,630","-2,432",-519,"2,919","9,922","19,295","27,035","32,698","36,358","39,989","69,516","85,899","83,566","138,936","146,580","97,015","161,587","174,405","228,446","135,258","202,419","226,436","264,644","161,553","179,011","97,601","109,891","93,151","140,956","85,594","69,766","44,763","32,455","32,455","32,102","32,102","32,455","32,455","31,749","32,102","184,677","243,725","20,749","20,750","221,237","170,271","57,591","70,341","70,341","52,088","1,912","1,911","81,340","112,645","148,151","168,490","162,581","144,973","136,037","133,431","132,784","130,003","122,267","119,355","116,843","112,571","106,497","101,615","98,361"
178,"Net additions, unique subscribers",1581,Mobile internet,,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,090","10,452","12,286","18,028","19,464","22,731","26,234","35,499","35,430","38,314","41,602","67,077","67,428","67,623","69,692","90,229","78,786","91,531","94,753","110,318","114,751","92,052","106,865","108,983","114,038","118,115","122,629","127,581","131,854","134,409","138,849","142,558","145,074","146,232","150,244","154,577","157,941","159,047","162,433","165,755","167,818","168,193","168,702","170,320"
178,"Net additions, unique subscribers",1582,Mobile internet > 2G,,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,090","10,452","12,286","18,028","19,464","22,731","26,234","35,499","35,430","38,314","41,602","42,234","45,490","47,679","51,496","70,702","49,978","47,885","59,075","73,124","70,090","43,975","54,552","52,818","53,702","53,429","53,299","53,287","52,478","49,875","48,749","46,554","42,867","37,563","34,456","31,083","26,451","20,136","16,238","12,594","8,345","3,434",-567,"-4,411"
178,"Net additions, unique subscribers",1583,Mobile internet > 3G + 4G,,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,938","19,944","18,196","19,527","28,808","43,646","35,678","37,194","44,661","48,077","52,313","56,165","60,336","64,686","69,330","74,294","79,376","84,534","90,100","96,004","102,207","108,669","115,788","123,494","131,490","138,911","146,195","153,161","159,473","164,759","169,269","174,731"
